candidate_id,window_id,subject_id,activity_id,activity_name,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15,value_16,value_17,value_18,value_19,value_20,value_21,value_22,value_23,value_24,value_25,value_26,value_27,value_28,value_29,value_30,value_31,value_32,value_33,value_34,value_35,value_36,value_37,value_38,value_39,value_40,value_41,value_42,value_43,value_44,value_45,value_46,value_47,value_48,value_49,value_50,value_51,value_52,value_53
11,5071,108,2,sitting,0.0037,1.2886,-0.0161,0.2235,0.3429,1.053,0.407,-0.0103,-0.0021,0.0154,0.0103,-0.0135,-0.0198,0.0002,0.0087,0.0265,0.0182,-0.0043,0.3264,-0.0177,-0.5512,-0.0015,-0.0036,-0.0201,1.2186,-0.0038,-0.0274,-0.0074,-0.0105,0.003,-0.1899,-0.0184,-0.025,-0.004,-0.0054,-0.0017,-0.001,-0.5851,-0.0051,1.4785,-0.0122,-0.0065,0.0126,0.4041,0.0047,-0.0008,0.0279,-0.0012,0.0276,0.0138,0.0213,-0.0367,-0.0122,0.0021
12,5072,108,2,sitting,0.006,0.1441,-0.0242,0.2249,0.3289,1.0403,0.099,-0.0041,-0.0201,0.019,0.0096,-0.0049,-0.0268,-0.0053,0.0163,0.024,0.0204,-0.0121,0.3045,-0.0278,-0.5823,0.0024,0.0026,0.0374,1.1834,0.0088,0.0019,0.0205,0.004,0.0177,-0.1387,-0.0327,-0.037,-0.013,0.0047,0.008,-0.0031,-0.5905,-0.0044,1.493,-0.0114,-0.007,0.0077,0.3502,0.0028,0.0077,0.0131,-0.0018,0.0246,-0.0048,0.0215,-0.0357,-0.0115,0.0029
13,5073,108,2,sitting,0.0002,1.2347,-0.0125,0.0333,0.3123,0.8385,-0.0984,-0.0018,-0.0132,0.02,0.0145,0.0038,-0.0267,-0.0002,0.0095,0.023,0.0174,0.0053,0.1375,0.0023,-0.523,0.0046,-0.0033,0.0154,0.8174,-0.004,0.0041,0.0212,-0.0167,0.007,-0.1453,0.0076,-0.0265,-0.0027,0.0137,0.0161,-0.0052,-0.3183,-0.0047,1.448,0.0004,-0.0198,-0.0031,0.4001,0.0087,0.0167,0.019,0.0031,0.0278,0.0014,0.0237,-0.0341,-0.0115,0.0063
14,5074,108,2,sitting,0.0102,1.2627,-0.0243,0.184,0.3906,1.1172,0.4012,-0.0008,0.0053,0.0237,0.0174,-0.0065,-0.0144,-0.001,0.0073,0.0332,0.018,0.0111,0.3472,0.0047,-0.5389,-0.0007,0.0006,0.0131,1.1817,0.0152,-0.0117,-0.0103,0.0061,0.0088,-0.1674,-0.0265,-0.038,-0.0079,-0.0144,-0.0001,-0.0015,-0.5094,-0.008,1.6457,-0.0107,-0.0048,0.0142,0.9455,0.0036,0.0047,0.0331,0.0033,0.0084,0.0081,0.0182,-0.0347,-0.0104,0.0056
15,5075,108,2,sitting,0.0031,1.2745,-0.0251,0.0505,0.1147,0.4185,-0.1951,-0.0106,-0.0066,0.0153,0.0031,-0.001,-0.0257,-0.0011,0.0105,0.0297,0.0222,0.02,0.2957,-0.0233,-0.4897,-0.014,-0.0005,-0.0332,1.085,-0.0323,0.0097,0.0211,0.0188,-0.032,-0.158,-0.0276,-0.0371,-0.0305,0.006,0.0162,-0.0022,-0.5181,-0.0113,0.8472,-0.01,-0.0113,0.006,0.4574,0.0035,0.0118,0.0247,0.0108,0.0204,0.0071,0.0255,-0.0346,-0.0106,0.0039
16,5076,108,2,sitting,0.0015,1.2864,-0.0027,0.0541,0.2152,0.6934,0.3388,0.0021,0.004,0.0086,0.006,-0.0149,-0.0216,0.0047,0.0117,0.0237,0.0153,-0.0156,0.3728,-0.0187,-0.4691,-0.0056,-0.001,-0.0118,1.0357,-0.0326,-0.0021,0.0025,0.0136,0.0035,-0.1505,-0.0349,-0.0167,-0.0054,-0.0142,0.0014,-0.0005,-0.3364,-0.0074,1.4341,-0.0151,-0.0092,0.0093,0.4122,0.0144,0.0061,0.0208,0.0082,0.0043,0.0101,0.0283,-0.0362,-0.0126,0.001
17,5077,108,2,sitting,0.0004,1.2357,-0.0245,0.0771,0.2243,0.6858,0.2934,-0.0005,-0.0135,0.013,0.0125,-0.0081,-0.0266,-0.0006,0.0083,0.0275,0.0182,-0.0006,0.2088,0.0145,-0.5779,-0.0164,-0.0046,0.0125,1.0025,0.0224,-0.0179,-0.0254,-0.0354,0.0026,-0.1587,0.0061,-0.0461,-0.0246,-0.0072,-0.0021,-0.0011,-0.3307,-0.0104,0.7816,-0.0116,-0.0071,0.0063,0.4418,0.0029,0.0081,0.0302,0.0069,0.0264,0.0013,0.0194,-0.0363,-0.0106,0.0058
18,5078,108,2,sitting,0.0018,1.3408,-0.0218,0.1009,0.2836,0.9949,0.1246,-0.0167,-0.0206,0.0034,0.0099,0.0041,-0.0328,0.0017,0.0093,0.0271,0.0186,0.0004,0.24,0.0125,-0.4639,-0.0063,0.0036,0.0117,1.0535,0.0012,0.0169,0.0233,0.016,-0.0173,-0.1895,-0.0242,-0.048,-0.0366,-0.0162,0.0088,-0.0005,-0.3272,-0.0107,0.8594,0.0051,-0.0169,0.0052,0.357,0.0234,0.009,0.0229,0.0075,0.0186,0.0016,0.0183,-0.0366,-0.0137,0.0057
19,5079,108,2,sitting,0.0056,1.2772,-0.0143,0.1308,0.3935,1.2872,0.1071,0.014,-0.0107,0.026,0.0185,-0.0026,-0.0316,-0.001,0.0121,0.0283,0.0191,-0.012,0.4436,-0.0212,-0.4866,0.0009,-0.0024,-0.0163,1.0057,-0.0342,-0.0222,-0.001,0.006,0.0121,-0.1988,-0.0281,-0.003,-0.0408,-0.0035,-0.0143,-0.0006,-0.5107,-0.0078,0.7307,0.0018,-0.0154,0.0053,0.5244,0.0085,0.0064,0.0243,0.0122,0.013,-0.0047,0.023,-0.0354,-0.0113,0.0045
20,5080,108,2,sitting,0.022,1.2328,-0.0354,0.1057,0.3135,1.0786,0.2731,-0.0358,-0.0274,0.0276,0.0014,0.0088,-0.0262,0.0058,0.0144,0.0261,0.0162,-0.0421,0.2653,-0.0034,-0.4604,-0.004,-0.0074,0.0019,1.1296,0.007,-0.0137,-0.0428,-0.0012,0.0047,-0.1776,-0.0262,-0.0644,-0.0241,-0.0231,-0.0337,-0.0001,-0.3488,-0.0112,1.4714,-0.0096,-0.0143,-0.0061,0.5174,0.0184,0.0041,0.0151,0.0082,0.0342,-0.0063,0.0171,-0.037,-0.0119,0.0036
21,5081,108,2,sitting,0.001,1.28,-0.0195,0.042,0.3206,1.0979,0.3937,0.0087,0.0137,0.0117,0.0072,-0.0283,-0.0329,0.0041,0.0122,0.0258,0.024,-0.0206,0.3085,-0.0014,-0.5394,-0.0066,-0.0003,0.0082,1.2009,0.0283,-0.0107,0.0113,-0.0175,0.0081,-0.1848,-0.0363,-0.0403,-0.0286,0.0002,0.0103,-0.0032,-0.3604,-0.0055,0.7799,-0.0117,-0.0046,0.009,0.4647,0.0052,0.0045,0.0307,0.0019,0.016,0.003,0.0168,-0.0356,-0.01,0.0028
22,5082,108,2,sitting,0.0102,2.3689,-0.0244,0.1572,0.4924,1.3176,0.4012,-0.02,0.006,0.0206,0.0092,-0.0145,-0.0264,0.0026,0.0111,0.028,0.0158,0.0014,0.349,0.0101,-0.4675,-0.0003,-0.0072,0.0087,0.8176,0.0107,0.0001,0.0039,-0.0108,0.0045,-0.1787,-0.0113,-0.0161,-0.0277,0.0148,-0.0081,-0.0062,-0.3406,-0.0105,1.0752,-0.0064,-0.0188,-0.0172,0.4489,-0.0019,0.002,0.0274,0.0041,0.0098,-0.0003,0.0223,-0.0355,-0.0105,0.0053
23,5083,108,2,sitting,0.0026,1.295,-0.0168,0.1749,0.3164,1.0438,-0.218,0.0065,-0.0083,0.0095,0.0052,0.0018,-0.0268,0.0004,0.0088,0.0274,0.021,-0.0082,0.3809,0.0147,-0.5187,-0.0053,-0.0035,-0.0051,1.1486,0.0184,0.0331,-0.0266,-0.0016,0.0147,-0.1664,0.0156,-0.0631,-0.047,-0.0284,0.0056,-0.0021,-0.3488,-0.0075,1.445,-0.0105,-0.01,0.0077,0.3667,0.0052,0.0147,0.0301,0.015,0.0174,0.0035,0.0283,-0.0346,-0.011,0.0055
24,5084,108,2,sitting,0.0116,2.4244,-0.0064,0.1278,0.2942,0.7843,1.061,0.0075,-0.0314,0.0422,0.0019,-0.016,-0.0118,-0.0014,0.0096,0.0319,0.0203,0.0053,-0.4517,0.0018,-0.4489,-0.0026,0.0014,0.012,0.9736,0.024,0.0012,0.007,-0.0112,-0.0121,-0.1492,-0.0081,-0.0242,-0.0085,-0.0032,0.0126,-0.0007,-0.5775,-0.0126,0.7815,0.0012,-0.0193,-0.0067,0.4646,0.0188,0.007,0.0298,0.0162,0.0307,-0.0051,0.0266,-0.0356,-0.0124,0.0047
25,5085,108,2,sitting,0.0106,1.1893,-0.0126,0.2122,0.3677,1.1736,-0.1632,-0.0174,-0.008,0.0154,0.016,-0.0125,-0.0305,0.0015,0.0117,0.0251,0.0183,-0.0075,0.3003,-0.0343,-0.4943,0.0004,0.0062,0.0046,1.0572,0.0145,-0.0288,0.0206,0.0143,0.0005,-0.1788,-0.0305,-0.0473,-0.0553,-0.0091,0.0051,-0.0012,-0.3021,-0.0108,1.4461,-0.0116,-0.0117,-0.0073,0.3301,0.0089,-0.007,0.0244,0.006,0.0163,0.0135,0.0147,-0.0348,-0.0112,0.0062
26,5086,108,2,sitting,0.001,1.2733,-0.0085,0.0418,0.3134,0.975,0.3624,0.0026,0.0152,0.022,0.0131,-0.0098,-0.0298,0.0021,0.0123,0.0253,0.0196,0.0027,0.169,0.0103,-0.5496,-0.002,0.0019,-0.0124,1.2027,0.0146,0.0168,0.0124,0.0148,0.0056,-0.1558,-0.0277,-0.042,-0.0023,0.008,0.0111,-0.0046,-0.5128,-0.0044,1.4527,0.0014,-0.0189,0.0013,0.4189,0.0171,0.0093,0.0363,0.0078,0.0303,0.0034,0.0144,-0.0356,-0.0101,0.0035
27,5087,108,2,sitting,0.0013,1.3324,-0.012,0.1428,0.4603,1.2121,0.4591,0.0145,-0.0128,0.0139,0.0095,-0.0141,-0.0281,0.0057,0.0122,0.0247,0.0173,-0.0072,0.4689,-0.0124,-0.4929,-0.0025,-0.0006,-0.0314,1.0465,0.0275,-0.0146,-0.0039,-0.0135,-0.0069,-0.1407,-0.035,-0.0571,-0.0134,-0.0261,0.0024,-0.0047,-0.5752,-0.0041,1.4401,-0.0048,-0.0126,0.0051,0.9113,0.0093,0.008,0.0307,-0.001,0.0152,0.0013,0.0211,-0.0364,-0.011,0.0044
28,5088,108,2,sitting,0.0121,1.3443,-0.0158,0.1191,0.3431,1.0667,-0.0992,0.0255,-0.0322,0.0056,0.0134,0.0023,-0.0258,0.0069,0.012,0.0267,0.0239,0.0175,0.1663,0.0037,-0.5436,0.0007,0.0042,0.0103,1.1837,0.011,-0.0017,-0.0164,-0.0264,0.0032,-0.183,-0.0343,-0.0106,0.0138,0.0185,0.0076,-0.0047,-0.6692,-0.008,0.7745,-0.0106,-0.0082,0.0066,0.4406,0.0133,0.0088,0.031,0.0062,0.0122,0.0013,0.0131,-0.037,-0.0104,0.0052
29,5089,108,2,sitting,0.0113,1.2953,-0.0087,0.0906,0.3108,1.018,0.2688,0.034,-0.02,0.0021,0.0042,-0.024,-0.0229,0.0037,0.013,0.027,0.0152,-0.0233,0.1436,-0.018,-0.5231,-0.0016,0.0003,-0.0327,0.9343,-0.0018,-0.0177,-0.008,-0.0162,-0.0114,-0.1568,-0.0156,-0.0257,-0.0235,-0.0075,0.0007,-0.0045,-0.3208,-0.0095,0.7469,0.0041,-0.013,0.0044,0.3909,0.0066,0.0074,0.0246,0.0089,0.0124,0.0141,0.0159,-0.0371,-0.0087,0.0057
31,5091,108,2,sitting,0.0068,1.2851,-0.0084,0.1378,0.3307,0.9949,-0.458,0.0109,-0.0026,0.0143,0.0149,-0.011,-0.0289,0.0032,0.0067,0.0283,0.0223,0.0018,0.2432,0.0017,-0.5402,-0.0108,0.0021,0.0084,0.9627,-0.0063,-0.0404,0.0443,0.0143,0.0081,-0.1677,-0.0276,-0.0377,0.0158,0.0041,0.0017,-0.0032,-0.3303,-0.0039,0.7858,-0.0153,-0.0133,0.004,0.3624,0.0074,-0.0017,0.0289,0.0054,0.0197,0.0052,0.0243,-0.0379,-0.0118,0.0033
32,5092,108,2,sitting,0.0073,2.2496,-0.0186,0.0136,0.2479,0.8361,0.5405,0.0016,-0.0134,0.0111,0.0094,0.0022,-0.0246,0.0058,0.0103,0.0283,0.0162,-0.0132,0.2783,0.0044,-0.5202,-0.0073,-0.0016,0.0128,1.2155,0.0142,-0.0092,0.0111,0.0135,-0.0123,-0.1969,0.0077,-0.013,-0.0305,-0.0057,0.0087,-0.0064,-0.3509,-0.0117,0.7544,-0.0127,-0.0061,0.004,0.2272,0.0123,0.0067,0.0128,0.0082,0.0277,0.0077,0.0276,-0.0338,-0.0125,0.0054
33,5093,108,2,sitting,0.007,1.3349,-0.0171,0.0555,0.2209,0.7551,-0.2417,0.0284,-0.0024,0.0236,0.0088,-0.0003,-0.0292,-0.0016,0.0136,0.0273,0.0179,0.0242,0.2749,0.003,-0.4693,-0.011,0.0007,-0.0033,1.032,0.0031,0.0149,0.0052,-0.0265,0.0032,-0.1887,-0.0323,-0.068,-0.0033,0.0025,-0.0016,-0.0036,-0.3241,-0.0056,0.7671,-0.0101,-0.0159,0.0045,0.4236,0.0065,-0.0004,0.0215,0.0079,0.0179,0.0064,0.0209,-0.0351,-0.0095,0.0032
34,5094,108,2,sitting,0.0134,2.2883,-0.0335,0.1409,0.5157,1.3631,1.0088,0.0322,0.0068,0.0284,0.0185,-0.004,-0.0253,0.0061,0.0109,0.0239,0.0165,0.002,0.1577,-0.0348,-0.4799,-0.0039,0.0014,0.0218,1.0827,0.007,-0.0413,0.0373,-0.0248,0.0001,-0.1579,-0.0377,-0.0665,0.0142,-0.0354,0.0105,-0.0063,-0.5841,-0.0101,0.7308,-0.009,-0.0128,0.0089,0.4395,0.0171,0.0101,0.0219,0.0017,0.0193,0.0046,0.0284,-0.0377,-0.0125,0.0026
35,5095,108,2,sitting,0.0045,1.2957,-0.021,0.1619,0.3933,1.0097,-0.1861,-0.0009,0.0021,0.019,0.0159,-0.0057,-0.0183,0.0011,0.0113,0.0289,0.0185,-0.0088,0.2616,-0.0156,-0.571,-0.0106,-0.002,-0.001,1.0166,-0.0076,0.0165,-0.0364,0.0103,-0.0017,-0.1433,-0.0092,-0.007,-0.0098,-0.0144,-0.0073,-0.0078,-0.3239,-0.0118,0.7777,-0.0106,-0.0117,-0.0115,0.3286,-0.001,0.0021,0.0327,-0.0013,0.025,-0.0135,0.0225,-0.035,-0.0127,0.0017
36,5096,108,2,sitting,0.0248,1.3675,-0.0364,0.1509,0.4244,1.1761,-0.1994,-0.0353,-0.0105,0.0089,0.0136,-0.0281,-0.0257,-0.0051,0.0111,0.028,0.0193,0.0069,0.4072,-0.0203,-0.5338,-0.0045,0.0053,0.0171,1.2329,0.0283,-0.0427,0.0224,0.0031,-0.0052,-0.1643,-0.0358,-0.0292,-0.0061,0.0061,0.0105,-0.002,-0.3085,-0.007,0.7691,0.0006,-0.0127,-0.0126,0.3633,0.0142,0.006,0.019,0.0054,0.0056,0.0033,0.0231,-0.0366,-0.0098,0.0043
37,5097,108,2,sitting,0.0016,1.2869,-0.0193,0.089,0.2858,0.9725,0.3222,-0.0177,-0.0228,0.0169,0.0106,-0.0151,-0.0295,-0.0032,0.0105,0.0247,0.0181,0.0018,0.4172,0.0007,-0.577,-0.0049,0.0015,-0.0184,1.1461,-0.0127,0.0146,0.0081,0.0204,-0.0283,-0.1898,-0.0297,-0.0353,-0.0044,-0.0055,0.0092,-0.005,-0.3377,-0.005,0.8321,-0.0043,-0.0148,-0.0082,0.3193,0.0184,0.0016,0.0143,0.0044,0.0241,-0.004,0.0216,-0.0339,-0.0113,0.0045
39,5099,108,2,sitting,0.0042,2.3718,-0.0312,0.1021,0.3359,0.9775,0.1738,0.0176,0.0022,0.0023,0.0217,-0.0017,-0.0313,0.0012,0.0061,0.0225,0.0175,0.0135,0.3239,-0.008,-0.5109,-0.0011,-0.0041,-0.0326,1.093,-0.0407,0.0215,0.0082,0.0032,-0.0027,-0.1891,-0.0363,-0.0342,-0.0377,-0.0144,0.0105,-0.0067,-0.3472,-0.0064,0.7802,-0.0089,-0.0149,0.0127,0.4401,0.0183,-0.0026,0.0273,0.0059,0.022,0.0026,0.0216,-0.0348,-0.0111,0.0019
40,5100,108,2,sitting,0.0028,1.3411,-0.015,0.0382,0.2734,0.8377,0.1735,-0.0248,-0.02,0.0098,0.0146,-0.0053,-0.0355,0.0006,0.0141,0.0285,0.0172,-0.0186,0.3263,-0.0074,-0.573,-0.0031,-0.0021,0.0105,1.2009,-0.0063,0.0083,0.0126,0.0046,0.0011,-0.1461,-0.0273,-0.0123,-0.0223,-0.0267,-0.005,-0.0055,-0.6726,-0.0104,1.4694,-0.0105,-0.0031,0.0117,0.3406,0.0051,0.0026,0.0185,0.002,0.0225,0.0006,0.0156,-0.0376,-0.0123,0.0048
41,5101,108,2,sitting,0.0154,0.3379,-0.0089,0.0694,0.3084,1.057,0.1259,-0.0087,0.0015,0.0036,0.0096,0.0063,-0.0341,0.0014,0.0091,0.0233,0.0167,0.0227,0.2483,-0.0242,-0.5063,-0.0023,-0.0025,0.0222,0.9188,0.0132,-0.0062,0.0181,0.0105,0.0021,-0.196,-0.0184,-0.0028,0.0057,-0.0106,0.0125,-0.0014,-0.307,-0.0065,0.7354,0.0045,-0.017,-0.0042,0.4533,-0.005,0.0053,0.0197,0.0011,0.0023,0.007,0.0152,-0.0357,-0.0115,0.0033
42,5102,108,2,sitting,0.0048,1.3157,-0.0186,0.1706,0.4032,0.9529,0.387,0.0037,0.0021,0.0161,0.0116,0.0036,-0.0274,0.003,0.0125,0.0276,0.0152,-0.0015,0.3347,-0.0116,-0.5753,-0.0111,0.0019,0.0116,1.0669,-0.01,0.0175,-0.0141,-0.0019,0.0142,-0.1663,-0.0312,-0.0539,-0.0035,-0.018,0.002,-0.0047,-0.3546,-0.0053,0.7441,-0.0147,-0.0089,0.002,0.386,0.0069,0.0097,0.0211,0.0059,0.0254,0.007,0.0318,-0.0349,-0.0108,0.0034
43,5103,108,2,sitting,0.0013,1.278,-0.0088,0.1535,0.5076,1.2337,0.5301,-0.012,0.003,0.0085,0.0086,-0.0017,-0.0256,0.0014,0.0081,0.0226,0.0182,0.0054,0.3438,0.0223,-0.5194,-0.0064,0.0009,0.0067,1.1803,-0.0248,-0.0113,0.0012,-0.0154,0.0003,-0.1637,-0.0225,-0.0687,-0.0202,-0.0044,0.0075,-0.0004,-0.3121,-0.0073,0.7688,-0.0075,-0.0142,0.005,0.4043,0.0089,0.0017,0.0121,0.0052,0.0176,0.0055,0.0147,-0.0374,-0.0122,0.0037
44,5104,108,2,sitting,0.0033,1.2709,-0.0169,0.1253,0.4087,1.0567,0.3952,-0.0072,-0.014,0.0043,0.0117,-0.0049,-0.0361,0.0005,0.0124,0.0341,0.0173,-0.0337,0.2149,0.0077,-0.4865,-0.0054,-0.0032,-0.0533,0.9682,0.0157,-0.0534,0.0176,0.0036,0.0081,-0.1274,0.0021,-0.0356,-0.0325,-0.02,0.0202,-0.0021,-0.3437,-0.0084,0.8082,-0.01,-0.0072,0.0037,0.3745,0.0033,-0.0042,0.0236,0.0013,0.0144,0.0038,0.0172,-0.0341,-0.0102,0.002
45,5105,108,2,sitting,0.0041,1.3355,-0.018,0.1615,0.4459,1.3647,-0.5892,-0.0125,-0.0042,0.0129,0.0061,0.0017,-0.0325,0.0024,0.011,0.0241,0.0174,-0.0023,0.3285,0.013,-0.4878,-0.0105,-0.003,-0.038,0.9717,0.0426,-0.007,0.0107,-0.0225,0.0256,-0.17,-0.0322,-0.0406,0.0125,-0.0234,-0.0161,-0.0047,-0.3416,-0.0051,1.0107,0.0025,-0.0207,-0.008,0.342,0.0102,-0.0117,0.0334,-0.014,0.0268,-0.0054,0.0137,-0.0365,-0.0127,0.0038
46,5106,108,2,sitting,0.0068,1.3091,-0.0035,0.0771,0.1888,0.4349,0.4339,-0.0135,0.0078,0.0251,0.0154,0.0032,-0.0296,0.0021,0.0155,0.0315,0.0166,0.0066,0.3635,-0.0016,-0.5533,-0.0056,-0.0042,-0.0097,1.08,-0.0073,0.0178,0.0082,-0.0158,0.0024,-0.1542,-0.0199,-0.0458,-0.0156,0.0048,-0.0086,-0.0064,-0.4991,-0.0049,0.75,-0.0142,-0.0062,0.0112,0.427,0.0103,0.0054,0.027,0.0121,0.0162,0.0147,0.0224,-0.0363,-0.0108,0.0024
47,5107,108,2,sitting,0.0122,1.3172,-0.0043,0.162,0.3911,1.0763,0.055,-0.0121,0.0064,0.0052,0.0183,-0.0134,-0.0314,0.0037,0.0109,0.0234,0.0194,0.0018,0.5435,0.012,-0.4852,-0.0022,-0.0022,-0.036,1.1411,0.0143,0.0281,-0.0224,-0.0053,-0.0051,-0.1676,0.0047,-0.0237,0.0017,0.0119,0.0088,-0.0002,-0.3426,-0.007,1.4986,0.004,-0.0236,0.0102,0.4634,0.0093,0.0132,0.0269,0.0132,0.0177,0.0018,0.014,-0.0331,-0.0103,0.006
